Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
8,Denver Nuggets*,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,,0.509,12.7,26.1,0.29,,0.495,13.8,72.4,0.251,,Pepsi Center,737301,17983
9,Boston Celtics*,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,,0.522,14.5,22.8,0.248,,0.487,14.9,73.8,0.251,,TD Garden,763584,18624
10,Portland Trail Blazers*,26.6,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,,0.499,12.1,28.2,0.249,,0.502,13.3,74.8,0.219,,Rose Garden Arena,840371,20497
11,Oklahoma City Thunder*,23.2,50,32,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.333,0.185,0.547,,0.494,13.9,28.6,0.268,,0.483,14,73.6,0.229,,Oklahoma City Arena,738149,18004
12,Dallas Mavericks*,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,,0.506,12.3,24.3,0.226,,0.495,13.6,73.7,0.206,,American Airlines Center,819770,19994
13,Miami Heat*,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.296,0.219,0.537,,0.496,12.8,26.1,0.223,,0.48,13.9,74.9,0.246,,AmericanAirlines Arena,726935,17730
14,Milwaukee Bucks*,26.4,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,,0.482,12.3,26.2,0.181,,0.486,14.6,76.4,0.266,,Bradley Center,619453,15109
15,Charlotte Bobcats*,27.4,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.346,0.211,0.538,,0.49,15.1,26.5,0.26,,0.491,14.7,74.2,0.194,,Time Warner Cable Arena,648520,15818
16,Houston Rockets,26,42,40,40,42,-0.37,0.35,-0.02,107.6,108,-0.4,94,0.292,0.265,0.537,,0.494,13.2,26.9,0.225,,0.511,13.6,73.8,0.215,,Toyota Center,677658,16528
17,Memphis Grizzlies,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.148,0.536,,0.494,13.7,31.3,0.235,,0.52,13.2,73.3,0.205,,FedEx Forum,552914,13486
18,Chicago Bulls*,26.2,41,41,36,46,-1.63,0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,,0.477,13.3,26.6,0.217,,0.484,12.3,74.8,0.212,,United Center,849760,20726
19,Toronto Raptors,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.319,0.211,0.564,,0.521,12.7,24.7,0.244,,0.513,11.8,72.9,0.247,,Air Canada Centre,733784,17897
20,New Orleans Hornets,27.5,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,0.243,0.23,0.543,,0.506,12.7,24.8,0.189,,0.523,13.5,73.8,0.205,,New Orleans Arena,617366,15058
21,Indiana Pacers,26.6,32,50,33,49,-3.01,-0.1,-3.11,103.7,106.8,-3.1,97.1,0.296,0.278,0.536,,0.491,13.8,21.6,0.229,,0.49,13.4,73,0.258,,Conseco Fieldhouse,582295,14202
22,Golden State Warriors,25.1,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.238,0.557,,0.514,13.1,20.9,0.23,,0.525,15.1,68.5,0.26,,Oracle Arena,739120,18027
23,New York Knicks,25.4,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4,94,0.256,0.312,0.547,,0.509,13,23.5,0.2,,0.526,13.3,72.1,0.207,,Madison Square Garden (IV),799550,19501
