Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
6,Dallas Mavericks*,82,19880,.457,12.5,,.777,.293,.142,.115,.227,.223,,.488,.618,.422,.406,.404,.347,,.475,.823,,.036,228,,.238,941,,.234,.355
7,Denver Nuggets*,82,19780,.456,12.3,,.779,.320,.127,.099,.233,.221,,.487,.607,.438,.408,.383,.349,,.500,.843,,.041,256,,.255,983,,.261,.386
8,Detroit Pistons,82,19780,.480,12.5,,.755,.330,.105,.105,.216,.245,,.515,.630,.422,.414,.432,.375,,.584,.877,,.054,306,,.252,903,,.287,.430
9,Golden State Warriors,82,19730,.485,11.9,,.785,.317,.162,.117,.189,.215,,.515,.662,.422,.406,.416,.375,,.523,.868,,.055,358,,.240,1039,,.277,.394
10,Houston Rockets,82,19905,.475,11.9,,.803,.328,.129,.118,.227,.197,,.503,.629,.465,.391,.399,.364,,.474,.845,,.040,256,,.270,1085,,.225,.411
11,Indiana Pacers,82,19705,.453,12.7,,.796,.291,.137,.115,.253,.204,,.476,.592,.404,.415,.409,.363,,.481,.867,,.043,258,,.238,919,,.258,.409
12,Los Angeles Clippers,82,19705,.470,12.1,,.785,.327,.124,.109,.226,.215,,.499,.614,.429,.414,.413,.363,,.550,.870,,.057,343,,.246,948,,.248,.445
13,Los Angeles Lakers*,82,19830,.446,12.5,,.768,.315,.119,.114,.220,.232,,.481,.599,.399,.406,.398,.328,,.533,.854,,.049,304,,.247,930,,.261,.365
14,Memphis Grizzlies,82,19905,.478,11.8,,.764,.357,.116,.095,.196,.236,,.517,.629,.473,.395,.398,.354,,.508,.874,,.060,372,,.276,1104,,.261,.407
15,Miami Heat*,82,19880,.439,12.6,,.761,.293,.142,.116,.211,.239,,.469,.580,.429,.383,.390,.342,,.484,.834,,.045,250,,.226,777,,.244,.406
