"year","round","game","home_team","away_team","home_score","away_score"
2018,"first",4,"Miami Heat","Philadelphia 76ers",102,106
2018,"first",5,"Philadelphia 76ers","Miami Heat",104,91
2018,"first",1,"Toronto Raptors","Washington Wizards",114,106
2018,"first",2,"Toronto Raptors","Washington Wizards",130,119
2018,"first",3,"Washington Wizards","Toronto Raptors",122,103
2018,"first",4,"Washington Wizards","Toronto Raptors",106,98
2018,"first",5,"Toronto Raptors","Washington Wizards",108,98
2018,"first",6,"Washington Wizards","Toronto Raptors",92,102
2018,"first",1,"Golden State Warriors","San Antonio Spurs",113,92
2018,"first",2,"Golden State Warriors","San Antonio Spurs",116,101
2018,"first",3,"San Antonio Spurs","Golden State Warriors",97,110
2018,"first",4,"San Antonio Spurs","Golden State Warriors",103,90
2018,"first",5,"Golden State Warriors","San Antonio Spurs",99,91
2018,"first",1,"Houston Rockets","Minnesota Timberwolves",104,101
2018,"first",2,"Houston Rockets","Minnesota Timberwolves",102,82
2018,"first",3,"Minnesota Timberwolves","Houston Rockets",121,105
2018,"first",4,"Minnesota Timberwolves","Houston Rockets",100,119
2018,"first",5,"Houston Rockets","Minnesota Timberwolves",122,104
2018,"first",1,"Portland Trail Blazers","New Orleans Pelicans",95,97
2018,"first",2,"Portland Trail Blazers","New Orleans Pelicans",102,111
2018,"first",3,"New Orleans Pelicans","Portland Trail Blazers",119,102
2018,"first",4,"New Orleans Pelicans","Portland Trail Blazers",131,123
2018,"first",1,"Oklahoma City Thunder","Utah Jazz",116,108
2018,"first",2,"Oklahoma City Thunder","Utah Jazz",95,102
2018,"first",3,"Utah Jazz","Oklahoma City Thunder",115,102
2018,"first",4,"Utah Jazz","Oklahoma City Thunder",113,96
2018,"first",5,"Oklahoma City Thunder","Utah Jazz",107,99
2018,"first",6,"Utah Jazz","Oklahoma City Thunder",96,91
2017,"final",1,"Golden State Warriors","Cleveland Cavaliers",113,91
2017,"final",2,"Golden State Warriors","Cleveland Cavaliers",132,113
2017,"final",3,"Cleveland Cavaliers","Golden State Warriors",113,118
2017,"final",4,"Cleveland Cavaliers","Golden State Warriors",137,116
2017,"final",5,"Golden State Warriors","Cleveland Cavaliers",129,120
2017,"third",1,"Boston Celtics","Cleveland Cavaliers",104,117
2017,"third",2,"Boston Celtics","Cleveland Cavaliers",86,130
2017,"third",3,"Cleveland Cavaliers","Boston Celtics",108,111
2017,"third",4,"Cleveland Cavaliers","Boston Celtics",112,99
2017,"third",5,"Boston Celtics","Cleveland Cavaliers",102,135
2017,"third",1,"Golden State Warriors","San Antonio Spurs",113,111
2017,"third",2,"Golden State Warriors","San Antonio Spurs",136,100
2017,"third",3,"San Antonio Spurs","Golden State Warriors",108,120
2017,"third",4,"San Antonio Spurs","Golden State Warriors",115,129
2017,"second",1,"Boston Celtics","Washington Wizards",123,111
2017,"second",2,"Boston Celtics","Washington Wizards",129,119
2017,"second",3,"Washington Wizards","Boston Celtics",116,89
2017,"second",4,"Washington Wizards","Boston Celtics",121,102
2017,"second",5,"Boston Celtics","Washington Wizards",123,101
2017,"second",6,"Washington Wizards","Boston Celtics",92,91
2017,"second",7,"Boston Celtics","Washington Wizards",115,105
2017,"second",1,"Cleveland Cavaliers","Toronto Raptors",116,105
2017,"second",2,"Cleveland Cavaliers","Toronto Raptors",125,103
2017,"second",3,"Toronto Raptors","Cleveland Cavaliers",94,115
2017,"second",4,"Toronto Raptors","Cleveland Cavaliers",102,109
2017,"second",1,"Golden State Warriors","Utah Jazz",106,94
